"No.","Time","Source","Destination","Protocol","Length","Info"
"1481","5.326515","172.18.0.2","172.18.0.3","TCP","72","5000  >  54948 [ACK] Seq=1 Ack=871844 Win=864384 Len=0 TSval=837618149 TSecr=805181707"
"1482","5.326516","172.18.0.2","172.18.0.3","TCP","72","5000  >  54948 [ACK] Seq=1 Ack=937004 Win=994688 Len=0 TSval=837618149 TSecr=805181707"
"1483","5.326516","172.18.0.2","172.18.0.3","TCP","72","5000  >  54948 [ACK] Seq=1 Ack=1002164 Win=1124992 Len=0 TSval=837618149 TSecr=805181707"
"1484","5.326516","172.18.0.2","172.18.0.3","TCP","72","5000  >  54948 [ACK] Seq=1 Ack=1048500 Win=1217664 Len=0 TSval=837618149 TSecr=805181707"
"1485","5.326580","172.18.0.3","172.18.0.2","TCP","296","54948  >  5000 [PSH, ACK] Seq=1048500 Ack=1 Win=64256 Len=224 TSval=805181717 TSecr=837618149"
"1486","5.336755","172.18.0.2","172.18.0.3","TCP","72","5000  >  54948 [ACK] Seq=1 Ack=1048724 Win=1220608 Len=0 TSval=837618159 TSecr=805181717"
"1487","5.339269","172.18.0.2","172.18.0.3","TCP","161","5000  >  54948 [PSH, ACK] Seq=1 Ack=1048724 Win=1220608 Len=89 TSval=837618162 TSecr=805181717"
"1488","5.339271","172.18.0.2","172.18.0.3","TCP","72","5000  >  54948 [FIN, ACK] Seq=90 Ack=1048724 Win=1220608 Len=0 TSval=837618162 TSecr=805181717"
"1489","5.339311","172.18.0.3","172.18.0.2","TCP","72","54948  >  5000 [ACK] Seq=1048724 Ack=90 Win=64256 Len=0 TSval=805181730 TSecr=837618162"
"1490","5.339781","172.18.0.3","172.18.0.2","TCP","72","54948  >  5000 [FIN, ACK] Seq=1048724 Ack=91 Win=64256 Len=0 TSval=805181731 TSecr=837618162"
"1491","5.349810","172.18.0.2","172.18.0.3","TCP","72","5000  >  54948 [ACK] Seq=91 Ack=1048725 Win=1220608 Len=0 TSval=837618173 TSecr=805181731"
"1492","5.678181","172.18.0.3","172.18.0.2","TCP","80","54952  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=805182069 TSecr=0 WS=128"
"1493","5.688473","172.18.0.2","172.18.0.3","TCP","80","5000  >  54952 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=837618511 TSecr=805182069 WS=128"
"1494","5.688545","172.18.0.3","172.18.0.2","TCP","72","54952  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=805182079 TSecr=837618511"
"1495","5.688761","172.18.0.3","172.18.0.2","TCP","219","54952  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=147 TSval=805182080 TSecr=837618511"
"1496","5.688845","172.18.0.3","172.18.0.2","TCP","2968","54952  >  5000 [PSH, ACK] Seq=148 Ack=1 Win=64256 Len=2896 TSval=805182080 TSecr=837618511"
"1497","5.688862","172.18.0.3","172.18.0.2","RSL","2968","HANDOver DETection "
"1498","5.688869","172.18.0.3","172.18.0.2","IPA","1520","HSL Debug [Malformed Packet: length of contained item exceeds length of containing item]"
"1499","5.688879","172.18.0.3","172.18.0.2","RSL","2968","RELease INDication "
"1500","5.688905","172.18.0.3","172.18.0.2","TCP","1520","54952  >  5000 [ACK] Seq=10284 Ack=1 Win=64256 Len=1448 TSval=805182080 TSecr=837618511"
