"No.","Time","Source","Destination","Protocol","Length","Info"
"3015","8.261773","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=763244 Win=1411840 Len=0 TSval=837771477 TSecr=805335035"
"3016","8.261774","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=777724 Win=1440768 Len=0 TSval=837771477 TSecr=805335035"
"3017","8.261776","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=784964 Win=1455232 Len=0 TSval=837771477 TSecr=805335035"
"3018","8.261777","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=799444 Win=1484160 Len=0 TSval=837771477 TSecr=805335035"
"3019","8.261777","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=813924 Win=1513216 Len=0 TSval=837771477 TSecr=805335035"
"3020","8.261781","172.18.0.3","172.18.0.2","TCP","16000","38572  >  5000 [PSH, ACK] Seq=825508 Ack=1 Win=64256 Len=15928 TSval=805335085 TSecr=837771477"
"3021","8.261919","172.18.0.3","172.18.0.2","TCP","8760","38572  >  5000 [PSH, ACK] Seq=841436 Ack=1 Win=64256 Len=8688 TSval=805335085 TSecr=837771477"
"3022","8.261962","172.18.0.3","172.18.0.2","TCP","20344","38572  >  5000 [PSH, ACK] Seq=850124 Ack=1 Win=64256 Len=20272 TSval=805335085 TSecr=837771477"
"3023","8.261970","172.18.0.3","172.18.0.2","TCP","20344","38572  >  5000 [PSH, ACK] Seq=870396 Ack=1 Win=64256 Len=20272 TSval=805335085 TSecr=837771477"
"3024","8.262003","172.18.0.3","172.18.0.2","TCP","20344","38572  >  5000 [PSH, ACK] Seq=890668 Ack=1 Win=64256 Len=20272 TSval=805335086 TSecr=837771477"
"3025","8.262007","172.18.0.3","172.18.0.2","TCP","4416","38572  >  5000 [PSH, ACK] Seq=910940 Ack=1 Win=64256 Len=4344 TSval=805335086 TSecr=837771477"
"3026","8.262016","172.18.0.3","172.18.0.2","TCP","31928","38572  >  5000 [PSH, ACK] Seq=915284 Ack=1 Win=64256 Len=31856 TSval=805335086 TSecr=837771477"
"3027","8.262025","172.18.0.3","172.18.0.2","TCP","31928","38572  >  5000 [PSH, ACK] Seq=947140 Ack=1 Win=64256 Len=31856 TSval=805335086 TSecr=837771477"
"3028","8.262047","172.18.0.3","172.18.0.2","TCP","1520","38572  >  5000 [PSH, ACK] Seq=978996 Ack=1 Win=64256 Len=1448 TSval=805335086 TSecr=837771477"
"3029","8.262056","172.18.0.3","172.18.0.2","RSL","31928","UNIT DATA INDication (DTAP) (Reserved) "
"3030","8.262065","172.18.0.3","172.18.0.2","RSL","31928","ESTablish INDication unknown 0x43 "
"3031","8.262079","172.18.0.3","172.18.0.2","TCP","1520","38572  >  5000 [ACK] Seq=1044156 Ack=1 Win=64256 Len=1448 TSval=805335086 TSecr=837771477"
"3032","8.262084","172.18.0.3","172.18.0.2","TCP","3192","38572  >  5000 [PSH, ACK] Seq=1045604 Ack=1 Win=64256 Len=3120 TSval=805335086 TSecr=837771477"
"3033","8.312000","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=825508 Win=1536384 Len=0 TSval=837771527 TSecr=805335085"
"3034","8.312019","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=841436 Win=1568256 Len=0 TSval=837771527 TSecr=805335085"
"3035","8.312020","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=850124 Win=1585536 Len=0 TSval=837771527 TSecr=805335085"
"3036","8.312021","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=870396 Win=1626112 Len=0 TSval=837771528 TSecr=805335085"
"3037","8.312022","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=890668 Win=1666688 Len=0 TSval=837771528 TSecr=805335085"
"3038","8.312036","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=910940 Win=1707264 Len=0 TSval=837771528 TSecr=805335086"
"3039","8.312037","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=915284 Win=1715840 Len=0 TSval=837771528 TSecr=805335086"
"3040","8.312038","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=947140 Win=1779584 Len=0 TSval=837771528 TSecr=805335086"
"3041","8.312043","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=978996 Win=1843328 Len=0 TSval=837771528 TSecr=805335086"
"3042","8.312220","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=980444 Win=1846272 Len=0 TSval=837771528 TSecr=805335086"
"3043","8.312221","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=1012300 Win=1909888 Len=0 TSval=837771528 TSecr=805335086"
"3044","8.312222","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=1045604 Win=1912832 Len=0 TSval=837771528 TSecr=805335086"
"3045","8.312261","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=1 Ack=1048724 Win=1912832 Len=0 TSval=837771528 TSecr=805335086"
"3046","8.322951","172.18.0.2","172.18.0.3","TCP","160","5000  >  38572 [PSH, ACK] Seq=1 Ack=1048724 Win=1912832 Len=88 TSval=837771538 TSecr=805335086"
"3047","8.323042","172.18.0.3","172.18.0.2","TCP","72","38572  >  5000 [ACK] Seq=1048724 Ack=89 Win=64256 Len=0 TSval=805335147 TSecr=837771538"
"3048","8.323450","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [FIN, ACK] Seq=89 Ack=1048724 Win=1912832 Len=0 TSval=837771539 TSecr=805335086"
"3049","8.323836","172.18.0.3","172.18.0.2","TCP","72","38572  >  5000 [FIN, ACK] Seq=1048724 Ack=90 Win=64256 Len=0 TSval=805335147 TSecr=837771539"
"3050","8.373937","172.18.0.2","172.18.0.3","TCP","72","5000  >  38572 [ACK] Seq=90 Ack=1048725 Win=1912832 Len=0 TSval=837771589 TSecr=805335147"
"3051","8.640389","172.18.0.3","172.18.0.2","TCP","80","38588  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=805335464 TSecr=0 WS=128"
"3052","9.672435","172.18.0.3","172.18.0.2","TCP","80","[TCP Retransmission] 38588  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=805336496 TSecr=0 WS=128"
"3053","9.722969","172.18.0.2","172.18.0.3","TCP","80","5000  >  38588 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=837772938 TSecr=805335464 WS=128"
"3054","9.722979","172.18.0.2","172.18.0.3","TCP","80","[TCP Retransmission] 5000  >  38588 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=837772938 TSecr=805335464 WS=128"
"3055","9.723159","172.18.0.3","172.18.0.2","TCP","72","38588  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=805336547 TSecr=837772938"
"3056","9.723280","172.18.0.3","172.18.0.2","TCP","72","[TCP Dup ACK 3055#1] 38588  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=805336547 TSecr=837772938"
